case,cycle,cycle_label,train_mse,val_mse,sequence_windows,h2_proxy_kg,final_soh_range,final_soh_var,final_mean_soh,soc_min,soc_max,power_mae_kw,start_stop_count
random,epa_la92,EPA LA92 HD,0.003299055460840464,0.0030502432491630316,1176,0.9525110119294794,0.19999809104084465,0.005449899365038214,0.8499969020861678,0.5861619014915802,0.6712577886961728,59.80361803275231,4.0
random,epa_us06,EPA US06,0.003299055460840464,0.0030502432491630316,1176,0.33835907914464425,0.19999919505502695,0.005449956316957598,0.8499986348628548,0.44473560411771507,0.6516038688007066,112.4591650827105,4.0
random,epa_udds,EPA UDDS,0.003299055460840464,0.0030502432491630316,1176,0.7465402323684931,0.19999858801186376,0.005449926559088287,0.8499976301297663,0.6300277795643051,0.7276607743159824,41.40162182559015,4.0
random,epa_hwfet,EPA HWFET,0.003299055460840464,0.0030502432491630316,1176,0.42443594422882797,0.19999914459427004,0.005449955388940365,0.8499985496958873,0.49602541444930953,0.6505249105560119,51.97424973000685,4.0
random,epa_mixed,EPA Mixed,0.003299055460840464,0.0030502432491630316,1176,1.2601334747849502,0.1999974902982119,0.0054498671515966855,0.8499959613247385,0.2546876841409736,0.6714224548435985,71.97476829865504,4.0
epa,epa_la92,EPA LA92 HD,0.0014823617360610979,0.0009820119012147188,1652,1.1652224611809596,0.19999185012004772,0.005449548698294728,0.8499927389802081,0.6344079292859856,0.6977483489528977,51.56805123736346,4.0
epa,epa_us06,EPA US06,0.0014823617360610979,0.0009820119012147188,1652,1.1090042791607853,0.19999406255113816,0.005449665671891937,0.8499946666642253,0.6372818196951332,0.7250932363407371,84.30950413016988,4.0
epa,epa_udds,EPA UDDS,0.0014823617360610979,0.0009820119012147188,1652,0.7187069043402987,0.19999682240916772,0.005449825502157167,0.8499962467740596,0.6429500216132793,0.7186421907355529,37.62021331638771,4.0
epa,epa_hwfet,EPA HWFET,0.0014823617360610979,0.0009820119012147188,1652,0.9107498646907092,0.1999955976170461,0.005449757136095021,0.8499962674949477,0.5910313277194903,0.6860037952487447,55.90691353953656,4.0
epa,epa_mixed,EPA Mixed,0.0014823617360610979,0.0009820119012147188,1652,2.8027113141570528,0.19998477562069605,0.005449151985134423,0.8499870092751942,0.6348272705077469,0.8052470230397409,61.978207081279585,4.0
random+epa,epa_la92,EPA LA92 HD,0.00043849568653653396,0.0003619878552854061,2828,1.2376955247245027,0.19999168748063045,0.005449543290928332,0.849992323592117,0.6500875263323641,0.7229555389342603,50.11612746197337,4.0
random+epa,epa_us06,EPA US06,0.00043849568653653396,0.0003619878552854061,2828,0.9888733656028517,0.1999946482674667,0.0054497029601430404,0.8499950317338614,0.638591694109415,0.6824529051711106,81.3149373694878,4.0
random+epa,epa_udds,EPA UDDS,0.00043849568653653396,0.0003619878552854061,2828,0.6972539144669239,0.19999633025864383,0.00544979979257831,0.849995899270251,0.6472256746867633,0.7111484764609378,35.27732177865792,4.0
random+epa,epa_hwfet,EPA HWFET,0.00043849568653653396,0.0003619878552854061,2828,1.0046312215973279,0.19999519099791574,0.005449736053323445,0.8499960223628036,0.6408915084802497,0.7117496683920534,40.86378372549635,4.0
random+epa,epa_mixed,EPA Mixed,0.00043849568653653396,0.0003619878552854061,2828,2.6147279656057423,0.19998586999985213,0.005449220319499615,0.849987566670696,0.6500875263323641,0.7423209622512433,54.96788866365163,4.0
