time_s,demand_kw,raw_fc_kw,safe_fc_kw,raw_batt_kw,safe_batt_kw,raw_soc,safe_soc,safe_stack_1_kw,safe_stack_2_kw,safe_stack_3_kw,safe_stack_4_kw
0,0.0,4.90310532040894,0.0,-4.90310532040894,0.0,0.6500261918019253,0.65,0.0,0.0,0.0,0.0
1,0.0,6.349242804571986,0.0,-6.349242804571986,0.0,0.650060108697249,0.65,0.0,0.0,0.0,0.0
2,0.0,6.932871323078871,0.0,-6.932871323078871,0.0,0.6500971432662825,0.65,0.0,0.0,0.0,0.0
3,0.0,7.195810228586197,0.0,-7.195810228586197,0.0,0.6501355824234866,0.65,0.0,0.0,0.0,0.0
4,0.0,7.3172954842448235,0.0,-7.3172954842448235,0.0,0.6501746705403896,0.65,0.0,0.0,0.0,0.0
5,0.0,7.373306527733803,0.0,-7.373306527733803,0.0,0.6502140578615847,0.65,0.0,0.0,0.0,0.0
6,0.0,7.398446090519428,0.0,-7.398446090519428,0.0,0.6502535794753161,0.65,0.0,0.0,0.0,0.0
7,0.0,7.4089013040065765,0.0,-7.4089013040065765,0.0,0.6502931569395469,0.65,0.0,0.0,0.0,0.0
8,0.0,7.412342261523008,0.0,-7.412342261523008,0.0,0.650332752784961,0.65,0.0,0.0,0.0,0.0
9,0.0,7.412434183061123,0.0,-7.412434183061123,0.0,0.6503723491214091,0.65,0.0,0.0,0.0,0.0
10,0.0,7.410926464945078,0.0,-7.410926464945078,0.0,0.6504119374038073,0.65,0.0,0.0,0.0,0.0
11,0.0,7.408650126308203,0.0,-7.408650126308203,0.0,0.650451513526277,0.65,0.0,0.0,0.0,0.0
12,0.0,7.406012248247862,0.0,-7.406012248247862,0.0,0.6504910755575176,0.65,0.0,0.0,0.0,0.0
13,0.0,7.40320049226284,0.0,-7.40320049226284,0.0,0.6505306225686942,0.65,0.0,0.0,0.0,0.0
14,0.0,7.400310970842838,0.0,-7.400310970842838,0.0,0.6505701541443931,0.65,0.0,0.0,0.0,0.0
15,0.0,7.397381030023098,0.0,-7.397381030023098,0.0,0.6506096700686989,0.65,0.0,0.0,0.0,0.0
16,0.0,7.394439727067947,0.0,-7.394439727067947,0.0,0.6506491702809161,0.65,0.0,0.0,0.0,0.0
17,0.0,7.3914905078709126,0.0,-7.3914905078709126,0.0,0.6506886547387573,0.65,0.0,0.0,0.0,0.0
18,0.0,7.388540450483561,0.0,-7.388540450483561,0.0,0.6507281234377449,0.65,0.0,0.0,0.0,0.0
19,0.0,7.385588996112347,0.0,-7.385588996112347,0.0,0.6507675763704164,0.65,0.0,0.0,0.0,0.0
20,0.0,7.382639870047569,0.0,-7.382639870047569,0.0,0.6508070135492093,0.65,0.0,0.0,0.0,0.0
21,7.24164883849806,7.557538524270058,0.0,-0.3158896857719977,7.24164883849806,0.6508087009941119,0.6499613159784269,0.0,0.0,0.0,0.0
22,36.001505830924366,8.895166870206594,5.041385814547539,27.10633896071777,30.960120016376827,0.6506639021748774,0.6497959307219291,2.045965753495693,1.424446515738964,0.9759870357811451,0.5949865095317364
23,48.077150870981924,10.394892562180758,11.353700701147318,37.68225830880117,36.72345016983461,0.6504626080599799,0.6495997584453809,4.684801027178764,3.2180305570364,2.191426418721676,1.2594426982104778
24,45.13431178049158,11.1981101334095,16.005738638341427,33.93620164708208,29.128573142150152,0.6502813249315232,0.6494441570931258,6.708218902349472,4.5403167605400085,3.060055524110794,1.6971474513411522
25,55.54140329324636,12.497054133564234,21.69816642999649,43.04434915968213,33.84323686324987,0.6500513871689181,0.6492633705714204,9.185557812452316,6.183409318327904,4.114045575261116,2.2151537239551544
26,43.74105565582074,12.628908921033144,24.247101694345474,31.112146734787594,19.493953961475263,0.6498851898038818,0.649159236201968,10.394367575645447,6.909912824630737,4.565824568271637,2.376996725797653
27,6.53772101656242,10.604189988225698,19.882623851299286,-4.066468971663278,-13.344902834736866,0.6499069123945423,0.6492305230760852,8.646558970212936,5.643137916922569,3.6991771310567856,1.8937498331069946
28,-3.4944439577351005,8.969863876700401,16.303751431405544,-12.464307834435502,-19.798195389140645,0.6499734952355383,0.6493362826668392,7.045935094356537,4.604090750217438,3.0475279316306114,1.6061976552009583
29,-3.4944439577351325,8.067624736577272,13.369075581431389,-11.562068694312405,-16.86351953916652,0.6500352584230079,0.6494263655703604,5.72194866836071,3.7623167037963867,2.520221844315529,1.3645883649587631
30,-3.3053839327082875,7.612247485667467,10.962642263621092,-10.917631418375755,-14.26802619632938,0.6500935791036616,0.649502583659016,4.6530380845069885,3.076067194342613,2.0814964547753334,1.1520405299961567
31,-0.2717404516202975,7.463180273771286,8.98936651647091,-7.734920725391584,-9.261106968091207,0.6501348981246305,0.649552055384273,3.7894662469625473,2.519018016755581,1.7155366018414497,0.9653456509113312
32,-0.27980430338990514,7.389719784259796,7.371280621737242,-7.669524087649702,-7.651084925127147,0.6501758678045859,0.6495929265644286,3.0835960060358047,2.0644085481762886,1.4142262749373913,0.8090497925877571
33,5.350143724390533,7.490740716457367,6.044450169429183,-2.1405969920668335,-0.6943064450386496,0.6501873026175777,0.6495966354663786,2.5128766894340515,1.6946442425251007,1.1637006886303425,0.6732285488396883
34,34.92716844119055,8.78575537353754,9.814956597983837,26.141413067653012,25.112211843206715,0.6500476583170026,0.6494624890355922,4.063886404037476,2.7751708403229713,1.8898112699389458,1.0860880836844444
35,74.60484681752247,12.119426392018795,20.05261778831482,62.485420425503676,54.55222902920765,0.6497138686779775,0.6491710775557353,8.368044346570969,5.709180235862732,3.842400014400482,2.1329931914806366
36,83.70936069952502,15.477114263921976,30.094706267118454,68.23224643560305,53.61465443240657,0.6493493801820609,0.6488846744871861,12.760867178440094,8.588951081037521,5.717082694172859,3.0278053134679794
37,51.89365604676506,15.753558371216059,32.610638812184334,36.140097675549,19.283017234580726,0.6491563241047342,0.6487816669164885,14.059785008430481,9.26155373454094,6.136751547455788,3.152548521757126
38,-4.405064613817652,12.48560082167387,26.740723475813866,-16.89066543549152,-31.145788089631516,0.6492465520183853,0.6489480439896169,11.6501584649086,7.580718398094177,4.990147426724434,2.5196991860866547
39,-8.51783519700297,9.963521640747786,21.927393227815628,-18.481356837750756,-30.4452284248186,0.6493452772151682,0.6491106787568435,9.564512223005295,6.218251958489418,4.076417908072472,2.0682111382484436
40,-3.1640930366189792,8.58983714133501,17.980462685227394,-11.75393017795399,-21.144555721846373,0.6494080653037256,0.6492236304433918,7.8003957867622375,5.090516060590744,3.346589580178261,1.7429612576961517
41,-3.1287132816133316,7.856609579175711,14.743979554623365,-10.985322860789042,-17.8726928362367,0.6494667475839649,0.6493191042299101,6.344104558229446,4.157141223549843,2.7642160654067993,1.4785177074372768
42,-11.982371229415106,7.2915904223918915,12.090063281357288,-19.273961651807,-24.072434510772396,0.6495697067808229,0.6494476962946044,5.142742767930031,3.3924799412488937,2.2918380796909332,1.2630024924874306
43,-34.76945154758217,6.817218009382486,9.91385169327259,-41.58666955696466,-44.68330324085476,0.6497918577934135,0.6496863891537971,4.179244115948677,2.7535511180758476,1.905146986246109,1.075909473001957
44,-35.89696437031669,6.616558087989688,8.129358198493719,-42.513522458306376,-44.02632256881041,0.6500189599432976,0.6499215725008527,3.409269079566002,2.248424105346203,1.5706326812505722,0.9010323323309422
45,-24.109639341462774,6.580863520503044,6.66607404127717,-30.69050286196582,-30.775713382739944,0.6501829049372184,0.6500859726791793,2.773889899253845,1.851407065987587,1.2897484004497528,0.7510286755859852
46,-15.532263842383193,6.639150157570839,5.466180527582765,-22.171413999954034,-20.99844436996596,0.6503013419778164,0.6501981438563693,2.2600747644901276,1.522383838891983,1.0595215484499931,0.6242003757506609
47,-6.276935656943642,6.846930785104632,4.482268122956157,-13.123866442048275,-10.7592037798998,0.6503714481019727,0.6502556182355355,1.845291256904602,1.251960825175047,0.8696497417986393,0.5153662990778685
48,-0.8484794284524616,7.062726560980082,3.675459837540984,-7.911205989432543,-4.523939265993445,0.6504137088177282,0.6502797845777684,1.5072855167090893,1.0278922505676746,0.71445656940341,0.4258255008608103
49,-3.8491485238764604,7.089498173445463,3.013877081684768,-10.938646697321923,-6.863025605561228,0.6504721417594874,0.6503164460393366,1.2304927222430706,0.8418041281402111,0.5880233366042376,0.35355689469724894
50,-3.1361007834626955,7.117370516061783,2.4713792139664292,-10.253471299524477,-5.607479997429125,0.6505269145762583,0.6503464005265024,1.0058186016976833,0.6901953369379044,0.48323413357138634,0.2921311417594552
51,0.0,7.2032262571156025,2.0265309140086174,-7.2032262571156025,-2.0265309140086174,0.6505653933489993,0.6503572260121542,0.8229358121752739,0.56646135635674,0.39660208858549595,0.24053165689110756
52,0.0,7.241707760840654,1.6617553541436791,-7.241707760840654,-1.6617553541436791,0.6506040776853286,0.6503661029104135,0.6732792593538761,0.4646496847271919,0.32556403893977404,0.19826237112283707
53,0.0,7.258265092968941,1.3626394211314619,-7.258265092968941,-1.3626394211314619,0.6506428504689449,0.6503733819671503,0.5510502029210329,0.38111668545752764,0.26719660963863134,0.16327592311426997
54,0.0,7.264554034918547,1.1173643288202584,-7.264554034918547,-1.1173643288202584,0.6506816568473366,0.6503793507936931,0.4510916769504547,0.3126473166048527,0.2192182932049036,0.1344070420600474
55,0.0,7.2660149075090885,0.9162387461401522,-7.2660149075090885,-0.9162387461401522,0.6507204710295348,0.6503842452314396,0.369358086027205,0.2564494265243411,0.17981802811846137,0.11061320547014475
56,0.0,7.265208940953016,0.7513157557696104,-7.265208940953016,-0.7513157557696104,0.6507592809063562,0.6503882586703058,0.30252542346715927,0.21031955257058144,0.14748863177374005,0.09098214795812964
57,0.0,7.263342197984457,0.6160789227578789,-7.263342197984457,-0.6160789227578789,0.6507980808112599,0.6503915496901923,0.24784754496067762,0.17248732037842274,0.12095512356609106,0.07478893385268748
58,0.0,7.260968815535307,0.5051847198046744,-7.260968815535307,-0.5051847198046744,0.6508368680378386,0.650394248326516,0.2031072974205017,0.14146434841677547,0.0991732464171946,0.06143982755020261
59,0.0,7.258366979658604,0.41425147210247815,-7.258366979658604,-0.41425147210247815,0.6508756413657214,0.6503964612083115,0.16644326969981194,0.11602547019720078,0.08132162038236856,0.05046111182309687
60,0.0,7.255654688924551,0.3396862040972337,-7.255654688924551,-0.3396862040972337,0.6509144002048717,0.6503982757713676,0.1364086987450719,0.09516211575828493,0.06668338319286704,0.04143200640100986
61,0.0,7.252892106771469,0.27854268555529416,-7.252892106771469,-0.27854268555529416,0.6509531442866386,0.6503997637130638,0.1118092448450625,0.07804736960679293,0.05467705777846277,0.03400901332497597
62,0.0,7.250110153108835,0.22840500168967992,-7.250110153108835,-0.22840500168967992,0.650991873507542,0.6504009838252524,0.0916526245418936,0.06400898564606905,0.04483227676246315,0.027911114739254117
63,6.122518173538059,7.395514566451311,0.18729210714809597,-1.2729963929132522,5.935226066389963,0.6509986737019485,0.6503692785578037,0.0752676569391042,0.052593793952837586,0.036654670839197934,0.022775985416956246
64,31.859820093340485,8.54576276615262,4.4377116952091455,23.314057327187864,27.42210839813134,0.6508741327974229,0.6502227929360188,1.801200583577156,1.253186259418726,0.8586019277572632,0.5247229244560003
65,81.50390052506815,12.409080378711224,16.86321012675762,69.09482014635692,64.64069039831053,0.6505050365359574,0.6498774901026945,6.958539038896561,4.797009378671646,3.2554619014263153,1.8521998077630997
66,95.56006911063055,16.63057841360569,29.5921728014946,78.92949069702486,65.96789630913595,0.6500834046412083,0.6495250974942055,12.482720613479614,8.448868244886398,5.636432766914368,3.024151176214218
67,106.2615771873783,21.242620050907135,41.96634329855442,85.01895713647116,64.29523388882387,0.6496292435453938,0.6491816400482182,17.915232479572296,11.92028820514679,7.908137887716293,4.222684726119041
68,109.94156221701975,25.97740087658167,52.785449847579,83.96416134043808,57.15611236944075,0.6491807170425068,0.6488763189351336,22.659549117088318,14.996257424354553,9.923183917999268,5.206459388136864
69,105.87175279506533,30.345838330686092,60.933348163962364,75.52591446437924,44.93840463110297,0.648777266644727,0.6486362633548393,26.2327641248703,17.375631630420685,11.36353313922882,5.961419269442558
70,74.45157403057279,32.24209751933813,61.965903267264366,42.209476511234655,12.48567076330842,0.6485517886719105,0.6485695663956336,26.868396997451782,17.728392779827118,11.431076377630234,5.938037112355232
71,-4.879281531939349,29.347253404557705,50.81204026937485,-34.22653493649705,-55.691321801314196,0.6487346227260585,0.6488670627727774,22.175833582878113,14.61232304573059,9.26586389541626,4.758019745349884
72,-38.379156432177055,25.761773250997066,41.66587218642235,-64.14092968317412,-80.0450286185994,0.649077255897443,0.6492946537376203,18.19561868906021,12.006790935993195,7.5865015387535095,3.8769610226154327
73,-78.62740862611805,21.027601324021816,34.166016057133675,-99.65500995013987,-112.79342468325173,0.6496096010360656,0.6498971827156291,14.896388351917267,9.742932766675949,6.329350173473358,3.1973447650671005
74,-71.63271449382475,16.022960655391216,28.01613360643387,-87.65567514921597,-99.64884810025862,0.6500778471639994,0.650429494938387,12.261714786291122,7.918373495340347,5.203114449977875,2.632930874824524
75,-31.268355351226166,11.904710531234741,22.973228991031647,-43.173065882460904,-54.24158434225781,0.6503084725159356,0.6507192469914973,10.043758153915405,6.506131589412689,4.259166121482849,2.164173126220703
76,14.945704946186666,10.45781709253788,20.067561604082584,4.487887853648786,-5.121856657895918,0.6502844987560337,0.650746607336892,8.724581450223923,5.709950625896454,3.719599172472954,1.913430355489254
77,88.93646390172712,14.444304630160332,31.002461537718773,74.49215927156679,57.93400236400835,0.6498865705547967,0.6504371308285373,13.145996630191803,8.851304650306702,5.8835867792367935,3.1215734779834747
78,109.5050355023879,19.502288848161697,43.6803363263607,90.0027466542262,65.8246991760272,0.6494057866517292,0.6500855031619986,18.665163218975067,12.388591468334198,8.232981711626053,4.3935999274253845
79,119.11040314011524,24.947757832705975,55.815285071730614,94.16264530740926,63.295118068384625,0.6489027810678221,0.6497473882150522,23.933009803295135,15.858285129070282,10.50165668129921,5.522333458065987
80,122.66287035335517,30.660460889339447,66.41512587666512,92.00240946401573,56.24774447669006,0.6484113152053006,0.649446919494557,28.50523591041565,18.925075232982635,12.431498616933823,6.553316116333008
81,117.93779415473273,35.73776260018349,74.26513656973839,82.20003155454924,43.67265758499434,0.6479722124726374,0.6492136253835261,31.837764382362366,21.17503434419632,13.91618400812149,7.336153835058212
82,100.84010083427191,38.812027126550674,77.63127908110619,62.028073707721234,23.208821753165722,0.6476408659250534,0.6490896466348447,33.32480192184448,22.12011069059372,14.547555148601532,7.638811320066452
83,74.01430305686871,39.95187096297741,75.56644156575203,34.0624320938913,-1.552138508883317,0.6474589084886544,0.6490979379730332,32.545679807662964,21.55752182006836,14.104308187961578,7.358931750059128
84,53.24186965763015,39.84147235751152,70.13399824500084,13.400397300118627,-16.892128587370692,0.6473873251697435,0.6491881737026666,30.30092716217041,20.039881765842438,13.02141398191452,6.771775335073471
85,55.367405515366016,39.86074849963188,66.05939194560051,15.506657015734135,-10.691986430234493,0.6473044904634628,0.649245289014794,28.63214612007141,18.901854753494263,12.197781354188919,6.327609717845917
86,66.4348357126157,40.48283323645592,64.70870897173882,25.952002476159777,1.7261267408768788,0.647165857971603,0.6492360682522893,28.08014154434204,18.51058155298233,11.931044608354568,6.1869412660598755
87,55.966123516978435,40.473708510398865,61.717043071985245,15.49241500657957,-5.75091955500681,0.6470830993444311,0.6492667889764079,26.82325839996338,17.668548226356506,11.349369585514069,5.875866860151291
88,45.5342269614583,39.89657275378704,57.38525278866291,5.637654207671261,-11.851025827204609,0.6470529836702448,0.6493300957383054,24.983052909374237,16.449111700057983,10.518825054168701,5.434263125061989
89,47.3321183773163,39.46930021047592,54.154982045292854,7.862818166840377,-6.822863667976556,0.6470109814364475,0.6493665426596087,23.59166592359543,15.534970164299011,9.910280257463455,5.118065699934959
90,18.66105657976973,37.42500655353069,46.344318985939026,-18.763949973760962,-27.683262406169295,0.6471112162119483,0.6495144233348553,20.22201716899872,13.335002958774567,8.443955332040787,4.343343526124954
91,4.325525680996446,34.714481234550476,38.002342358231544,-30.38895555355403,-33.676816677235095,0.6472735503762301,0.6496943208598406,16.580556333065033,10.921719670295715,6.950979679822922,3.5490866750478745
92,-11.970648690682484,31.359929032623768,31.161921098828316,-43.33057772330625,-43.1325697895108,0.6475050171375726,0.649924729886494,13.568952679634094,8.906286209821701,5.773088708519936,2.913593500852585
93,-69.42264658361461,27.398587204515934,25.552775338292122,-96.82123378813054,-94.97542192190673,0.6480222245830219,0.6504320772258204,11.200010031461716,7.189381867647171,4.751799255609512,2.411584183573723
94,-120.0,22.742787934839725,20.95327563583851,-142.74278793483973,-140.9532756358385,0.6487847394758363,0.6511850327580632,9.144937247037888,5.7926245033741,3.944801911711693,2.0709119737148285
95,-120.0,17.86689255386591,17.181685753166676,-137.8668925538659,-137.18168575316668,0.6495212079189658,0.6519178409084541,7.435515522956848,4.72564771771431,3.2625455409288406,1.757976971566677
96,-76.13367753089636,13.05316723883152,14.088981971144676,-89.18684476972788,-90.22265950204104,0.6499976333717956,0.6523997995596402,6.030460819602013,3.8950208574533463,2.6824980974197388,1.4810021966695786
97,-24.77040917303887,9.831351693719625,11.552965361624956,-34.6017608667585,-36.32337453466383,0.6501824718379642,0.6525938346800177,4.900801554322243,3.23396697640419,2.192380279302597,1.2258165515959263
98,-3.8285628824066955,8.396896813064814,9.47343185544014,-12.225459695471509,-13.301994737846835,0.6502477787807819,0.6526648923442157,4.009468108415604,2.658124454319477,1.7944399267435074,1.0113993659615517
99,-0.308849300834469,7.733536418527365,7.768214121460915,-8.042385719361834,-8.077063422295383,0.650290740242958,0.6527080390505313,3.2646209001541138,2.1789781749248505,1.4784619212150574,0.846153125166893
100,0.0,7.413182593882084,6.369935488328338,-7.413182593882084,-6.369935488328338,0.650330340577327,0.6527420664836955,2.6581671088933945,1.786087267100811,1.2181689031422138,0.7075122091919184
101,0.0,7.259086333215237,5.223347153514624,-7.259086333215237,-5.223347153514624,0.6503691177479104,0.6527699689791736,2.166086621582508,1.464039832353592,1.0031402111053467,0.590080488473177
102,0.0,7.185378018766642,4.283144557848573,-7.185378018766642,-4.283144557848573,0.6504075011774978,0.6527928490248887,1.7665635794401169,1.200135238468647,0.8255623281002045,0.4908834118396044
103,0.0,7.149633765220642,3.5121785942465067,-7.149633765220642,-3.5121785942465067,0.6504456936655598,0.6528116106626785,1.4421172440052032,0.9837216697633266,0.6791667081415653,0.4071729723364115
104,0.0,7.131629716604948,2.8799864696338773,-7.131629716604948,-2.8799864696338773,0.6504837899781485,0.6528269952057855,1.1780702508985996,0.8063811808824539,0.558438478037715,0.3370965598151088
105,0.0,7.121861260384321,2.3615889251232147,-7.121861260384321,-2.3615889251232147,0.6505218341088129,0.6528396105312402,0.9629451669752598,0.6610495038330555,0.4589577205479145,0.27863653376698494
106,0.0,7.1159184910357,1.936502824537456,-7.1159184910357,-1.936502824537456,0.6505598464939146,0.6528499550976106,0.7875132374465466,0.5419372580945492,0.37704864516854286,0.23000368382781744
107,0.0,7.111743185669184,1.5879323706030846,-7.111743185669184,-1.5879323706030846,0.6505978365750347,0.6528584376423253,0.6443005055189133,0.4444886464625597,0.30953765381127596,0.18960556481033564
108,0.8149443020362245,7.127673644572496,1.302104548085481,-6.312729342536272,-0.48716024604925645,0.6506315584198131,0.6528610399940671,0.5274123046547174,0.3646750934422016,0.2539770444855094,0.15604010550305247
109,2.9250019879380593,7.183776330202818,1.0677257319912314,-4.258774342264759,1.8572762559468279,0.6506543082827526,0.652851118646546,0.4320460371673107,0.29926367569714785,0.20822877995669842,0.12818723917007446
110,7.4172107577618265,7.344097923487425,0.8755350951105356,0.07311283427440163,6.541675662651291,0.6506539177227405,0.6528161737979207,0.35421911161392927,0.24571481626480818,0.17056395299732685,0.10503721423447132
111,31.049682707641292,8.427131082862616,4.785775812342763,22.622551624778676,26.26390689529853,0.650533070758933,0.6526758751499757,1.9512837752699852,1.3503293506801128,0.9241350926458836,0.5600275937467813
112,82.5297703012815,12.327275611460209,17.26263053715229,70.2024946898213,65.26713976412921,0.6501580574325985,0.652327225899099,7.133832573890686,4.913104698061943,3.3260412514209747,1.8896520137786865
113,111.29748096613277,17.663204111158848,32.68187940120697,93.63427685497392,78.6156015649258,0.6496578743297406,0.6519072707625342,13.771139085292816,9.331409633159637,6.228594854474068,3.350735828280449
114,133.9353557866287,24.223953299224377,49.412574991583824,109.71140248740431,84.52278079504487,0.6490718091455131,0.6514557601813641,21.064388751983643,13.990037143230438,9.349730610847473,5.00841848552227
115,175.4218874157553,34.150634333491325,70.61232849955559,141.27125308226397,104.8095589161997,0.6483171550158001,0.6508958800589485,29.949140548706055,20.0710266828537,13.419443368911743,7.172717899084091
116,213.44431672755846,44.6473591029644,94.85628083348274,168.79695762459406,118.58803589407572,0.6474154618660961,0.6502623969612237,39.878275990486145,27.01933979988098,18.15081685781479,9.807848185300827
117,246.2951211526157,53.94878908991814,120.66771388053894,192.34633206269757,125.62740727207677,0.6463879707760176,0.6495913103839156,50.28621554374695,34.33457612991333,23.32630157470703,12.72062063217163
118,236.2048433095379,60.32002978026867,140.03616720438004,175.88481352926922,96.16867610515786,0.6454484151481903,0.6490775888235248,57.85173177719116,39.858973026275635,27.304071187973022,15.021391212940216
119,166.8222559827089,63.144609704613686,143.4442326426506,103.67764627809521,23.37802334005829,0.6448945815676449,0.6489527062202126,58.994174003601074,40.718984603881836,28.118541836738586,15.612532198429108
120,93.43742842658392,63.59729468822479,133.0331653356552,29.84013373835913,-39.59573690907129,0.6447351791438288,0.6491642219088295,54.684484004974365,37.68787384033203,26.097849011421204,14.562958478927612
121,43.26167284332826,62.02283576130867,115.45836552977562,-18.761162917980407,-72.19669268644736,0.6448353990312112,0.64954988800224,47.85735309123993,32.70812928676605,22.45509773492813,12.437785416841507
122,8.835081911702055,59.48052145540714,94.83913779258728,-50.64543954370509,-86.00405588088523,0.6451059409091157,0.650009311377672,39.833104610443115,26.924818754196167,18.204110860824585,9.877103567123413
123,-29.484041921915914,55.635300278663635,77.76809260249138,-85.11934220057955,-107.2521345244073,0.6455606382499307,0.6505822394467127,33.15267264842987,22.242994606494904,14.672896265983582,7.699529081583023
124,-66.49829348510339,51.88602842390537,63.769836723804474,-118.38432190900876,-130.26813020890785,0.6461930331319232,0.6512781162106491,27.590730786323547,18.34641844034195,11.748988926410675,6.083698570728302
125,-102.73038710065168,48.18394519388676,52.29126587510109,-150.91433229453844,-155.02165297575277,0.6469991994369154,0.6521062233312461,22.726982831954956,15.149562060832977,9.501668810844421,4.913052171468735
126,-119.94957652719854,44.64225955307484,42.87883825600147,-164.59183608027337,-162.8284147832,0.6478784293305067,0.652976033239276,18.74391883611679,12.376192212104797,7.75180459022522,4.006922617554665
127,-101.0989500839706,40.59981219470501,35.160646960139275,-141.69876227867562,-136.25959704410988,0.6486353671631919,0.6537039157021185,15.393178164958954,10.032820701599121,6.452842801809311,3.2818052917718887
128,-86.02742613880142,36.32003776729107,28.831731341779232,-122.34746390609249,-114.85915748058065,0.6492889326755108,0.6543174795775489,12.65123188495636,8.1516794860363,5.327392742037773,2.7014272287487984
129,-57.91096659229232,31.915888376533985,23.64201918244362,-89.8268549688263,-81.55298577473593,0.6497687769862417,0.6547531258690806,10.363563895225525,6.659378111362457,4.37958762049675,2.2394895553588867
130,-32.87091049449655,28.038431890308857,19.386455789208412,-60.909342384805406,-52.25736628370496,0.650094147404964,0.65503227846675,8.437655121088028,5.473525449633598,3.5891570150852203,1.8861182034015656
131,-14.06099590376204,24.586518481373787,15.896894223988056,-38.64751438513583,-29.957890127750098,0.6503005978023204,0.6551923099311077,6.8637363612651825,4.488638415932655,2.956150658428669,1.5883687883615494
132,-6.388176220004463,21.366383507847786,13.035452831536531,-27.75455972785225,-19.423629051540996,0.6504488593393282,0.655296068633306,5.584293231368065,3.6758750677108765,2.4385077878832817,1.3367767445743084
